src,dest,EdgeType
ABL1-TRAN,ABL1-METH,Gene-TRAN-Gene-METH
ABL1-TRAN,ABL1-PROT,Gene-TRAN-Gene-PROT
ABL2-TRAN,ABL2-METH,Gene-TRAN-Gene-METH
ABL2-TRAN,ABL2-PROT,Gene-TRAN-Gene-PROT
ACAA1-TRAN,ACAA1-METH,Gene-TRAN-Gene-METH
ACAA1-TRAN,ACAA1-PROT,Gene-TRAN-Gene-PROT
ACACA-TRAN,ACACA-METH,Gene-TRAN-Gene-METH
ACACA-TRAN,ACACA-PROT,Gene-TRAN-Gene-PROT
ACACB-TRAN,ACACB-METH,Gene-TRAN-Gene-METH
ACACB-TRAN,ACACB-PROT,Gene-TRAN-Gene-PROT
ACADL-TRAN,ACADL-METH,Gene-TRAN-Gene-METH
ACADL-TRAN,ACADL-PROT,Gene-TRAN-Gene-PROT
ACADM-TRAN,ACADM-METH,Gene-TRAN-Gene-METH
ACADM-TRAN,ACADM-PROT,Gene-TRAN-Gene-PROT
ACOX1-TRAN,ACOX1-METH,Gene-TRAN-Gene-METH
ACOX1-TRAN,ACOX1-PROT,Gene-TRAN-Gene-PROT
ACOX2-TRAN,ACOX2-METH,Gene-TRAN-Gene-METH
ACOX2-TRAN,ACOX2-PROT,Gene-TRAN-Gene-PROT
ACOX3-TRAN,ACOX3-METH,Gene-TRAN-Gene-METH
ACOX3-TRAN,ACOX3-PROT,Gene-TRAN-Gene-PROT
ACSBG1-TRAN,ACSBG1-METH,Gene-TRAN-Gene-METH
ACSBG1-TRAN,ACSBG1-PROT,Gene-TRAN-Gene-PROT
ACSBG2-TRAN,ACSBG2-METH,Gene-TRAN-Gene-METH
ACSBG2-TRAN,ACSBG2-PROT,Gene-TRAN-Gene-PROT
ACSL1-TRAN,ACSL1-METH,Gene-TRAN-Gene-METH
ACSL1-TRAN,ACSL1-PROT,Gene-TRAN-Gene-PROT
ACSL3-TRAN,ACSL3-METH,Gene-TRAN-Gene-METH
ACSL3-TRAN,ACSL3-PROT,Gene-TRAN-Gene-PROT
ACSL4-TRAN,ACSL4-METH,Gene-TRAN-Gene-METH
ACSL4-TRAN,ACSL4-PROT,Gene-TRAN-Gene-PROT
ACSL5-TRAN,ACSL5-METH,Gene-TRAN-Gene-METH
ACSL5-TRAN,ACSL5-PROT,Gene-TRAN-Gene-PROT
ACSL6-TRAN,ACSL6-METH,Gene-TRAN-Gene-METH
ACSL6-TRAN,ACSL6-PROT,Gene-TRAN-Gene-PROT
ACTA2-TRAN,ACTA2-METH,Gene-TRAN-Gene-METH
ACTA2-TRAN,ACTA2-PROT,Gene-TRAN-Gene-PROT
ACTB-TRAN,ACTB-METH,Gene-TRAN-Gene-METH
ACTB-TRAN,ACTB-PROT,Gene-TRAN-Gene-PROT
ACTG1-TRAN,ACTG1-METH,Gene-TRAN-Gene-METH
ACTG1-TRAN,ACTG1-PROT,Gene-TRAN-Gene-PROT
ACVR1-TRAN,ACVR1-METH,Gene-TRAN-Gene-METH
ACVR1-TRAN,ACVR1-PROT,Gene-TRAN-Gene-PROT
